"Park Revenue","tick"
0.0,1.0
0.0,5040.0
37893.01373773099,10079.0
37664.51767407605,15118.0
38039.96390064711,20157.0
38022.59562594116,25196.0
37444.92841055615,30235.0
37899.4656191896,35274.0
38132.08110392961,40313.0
37735.40036876591,45352.0
37744.815024874086,50391.0
37632.40032093524,55430.0
37742.34728006959,60469.0
37387.99454154437,65508.0
37710.320657620534,70547.0
37925.010572054816,75586.0
37580.10415327127,80625.0
37546.62921981962,85664.0
37537.924329868496,90703.0
38078.17699286179,95742.0
37793.17601848275,100781.0
37498.782166671175,105820.0
37899.606074074516,110859.0
37755.395478776794,115898.0
37973.797142805335,120937.0
37446.23228380477,125976.0
37427.811658667684,131015.0
37469.61637874108,136054.0
37964.951922794055,141093.0
37775.79891694109,146132.0
37746.39189877272,151171.0
38487.68979040674,156210.0
37681.95312775406,161249.0
37879.59406051321,166288.0
38071.21243483587,171327.0
37775.72851879291,176366.0
